ID,Width,Height,Path
1,1024,2048,Resources\Images\Icons\general_icons.dds
2,1920,1920,Resources\Images\sprites\alpha_sprites.dds
3,1920,1920,Resources\Images\sprites\add_sprites.dds
4,48,64,Resources\Images\mapchips\gimmicks\goal_flag.bmp
5,256,256,Resources\Images\icons\entity_icons.dds
6,512,512,resources\images\block\bs_dirt.dds
7,512,512,resources\images\block\bs_brick.dds
8,512,512,resources\images\block\bs_format.dds
9,1024,1024,resources\images\sprites\player_sprite_standard_pico.png
10,48,64,resources\Images\mapchips\gimmicks\goal_flag.bmp
11,4960,4960,resources\Images\sprites\slash_sprite_cartoon_effects.png
12,576,324,resources\images\backgrounds\craftpix-net-322807-free-city-backgrounds-pixel-art\city_1\1.png
13,576,324,resources\images\backgrounds\craftpix-net-322807-free-city-backgrounds-pixel-art\city_1\2.png
14,576,324,resources\images\backgrounds\craftpix-net-322807-free-city-backgrounds-pixel-art\city_1\3.png
15,576,324,resources\images\backgrounds\craftpix-net-322807-free-city-backgrounds-pixel-art\city_1\4.png
16,576,324,resources\images\backgrounds\craftpix-net-322807-free-city-backgrounds-pixel-art\city_1\5.png
17,576,324,resources\images\backgrounds\craftpix-net-322807-free-city-backgrounds-pixel-art\city_2\1.png
18,576,324,resources\images\backgrounds\craftpix-net-322807-free-city-backgrounds-pixel-art\city_2\2.png
19,576,324,resources\images\backgrounds\craftpix-net-322807-free-city-backgrounds-pixel-art\city_2\3.png
20,576,324,resources\images\backgrounds\craftpix-net-322807-free-city-backgrounds-pixel-art\city_2\4.png
21,576,324,resources\images\backgrounds\craftpix-net-322807-free-city-backgrounds-pixel-art\city_2\5.png
22,576,324,resources\images\backgrounds\craftpix-net-322807-free-city-backgrounds-pixel-art\city_2\6.png
23,576,324,resources\images\backgrounds\craftpix-net-322807-free-city-backgrounds-pixel-art\city_3\1.png
24,576,324,resources\images\backgrounds\craftpix-net-322807-free-city-backgrounds-pixel-art\city_3\2.png
25,576,324,resources\images\backgrounds\craftpix-net-322807-free-city-backgrounds-pixel-art\city_3\3.png
